id	de	en	hu	
Delete Attribute Set	Attributsatz löschen	Delete Attribute Set	Attribútomok szetje törlése	
Beacons	Beacons	Beacons	Beacons	
Add Beacon	Beacon hinzufügen	Add Beacon	Új Beacon	
New Beacon	Neuer Beacon	New Beacon	Új Beacon	
Edit beacon	Beacon bearbeiten	Edit beacon	Beacon szerkesztés	
UDID	UDID	UDID	UDID	
Created	Erstellt	Created	Létrehozva	
Delete beacon	Beacon löschen	Delete beacon	Törlés beacon	
Collections	Sammlungen	Collections	Gyűjtemények	
Add Collection	Sammlung hinzufügen	Add Collection	Új gyűjtemény	
Collection Details	Beschreibung der Sammlung	Collection Details	Gyűjtemény részletek	
Collection Name...	Name der Sammlung...	Collection Name...	Gyűjtemény neve ...	
Location...	Standort…	Location...	Helyszín...	
Collection	Sammlung	Collection	Gyűjtemény	
Click to enter date...	Klicken Sie hier, um ein Datum einzugeben.	Click to enter date...	Kattints ide add meg a dátumot...	
Enter number...	Zahl hinzufügen	Enter number...	Adj meg egy számot...	
Click to enter time...	Klicken Sie hier, um die Zeit einzugeben.	Click to enter time...	Kattints ide add meg az időt...	
Close	Schließen	Close	Bezár	
Save changes and continue	Änderungen speichern	Save changes and continue	Módosítások mentése és tovább	
Loading map...	Herunterladen von Karten ...	Loading map...	Alaprajz feltöltése	
Guided Tours	Führungen	Guided Tours	Tárlatvezetés	
Vouchers	Gutscheine	Vouchers	Utalványok	
Quizzes	Quiz	Quizzes	Kvízek	
Map	Karte	Map	Alaprajz	
Events		Events	Programok	
Services		Services	Szolgáltatások	
Your Account	Ihr Konto	Your Account	Fiókod	
Log Out	Abmelden	Log Out	Kijelentkezés	
Required Field,Optional Field	Pflichtfeld, optionales Feld	Required Field,Optional Field	Kötelező mező, nem kötelező mező	
Add Event		Add Event	Új program	
Event Details		Event Details	Program részletei	
Description	Beschreibung	Description	Leírás	
Event Type	Event	Event Type	Program Típusa	
Booking Link		Booking Link	Link	
Ticket Price		Ticket Price	Jegyár	
New Event	Neues Event	New Event	Új program	
STARTS	Beginn	STARTS	Kezdődik	
FINISHES	Ende	FINISHES	Végződik	
Event	Event	Event	Program	
Delete Event		Delete Event	Program törlése	
EVENT TYPE		EVENT TYPE	PROGRAM TÍPUSA	
Add Exhibition	Sonderausstellung hinzufügen	Add Exhibition	Új kiállítás	
Exhibition Details	Beschreibung Sonderausstellung	Exhibition Details	Kiállítás részletek	
Exhibtion Name...	Name der Sonderausstellung	Exhibtion Name...	Kiállitás neve ...	
Date Start...	Beginn	Date Start...	Kezdődátum	
Date End...	Ende	Date End...	Végdátum	
Artists...	Künstler...	Artists...	Művészek ...	
Age...	Alter	Age...	Kor...	
Url...	URL	Url...	Link...	
Keywords...	Suchbegriff	Keywords...	Kulcsszavak ...	
No Exhibits	Keine Exponate	No Exhibits	Tárgyak nincsenek	
New Exhibition	Neue Sonderausstellung	New Exhibition	Új kiállítás	
Closing Soon	Schliesst demnächst	Closing Soon	Hamarosan zár	
Coming Soon	Eröffnung in Kürze	Coming Soon	Hamarosan!	
Delete Exhibition	Sonderausstellung löschen	Delete Exhibition	Kiállítás törlése	
EXHIBITS	Exponate	EXHIBITS	Tárgyak	
TOURS	Führungen	TOURS	Tárlatvezetések	
Add Exhibit	Exponat hinzufügen	Add Exhibit	Új tárgyak	
Image editing. Selected area will be shown in POI detail	Bildbearbeitung. Das Vorschaubild ist für den Besucher in der App sichtbar.	Image editing. Selected area will be shown in POI detail	Képszerkesztő. A kiválasztott terület látható a tárgy részletezésén	
Exhibit Details	Exponat Informationen	Exhibit Details	Tárgy részletek	
Exhibit Name...	Name des Exponats...	Exhibit Name...	Tárgy neve	
Description for kids	Beschreibung für Kinder	Description for kids	Leírás gyerekeknek	
Description for specialists	Beschreibung für Spezialisten	Description for specialists	Leírás szakembereknek	
Subpoints		Subpoints	Alpontok	
New Subpoint		New Subpoint	Új alpont	
Delete subpoint		Delete subpoint	Alpont törlése	
Subpoint		Subpoint	Alpont	
Media	Media	Media	Média	
Drop or click for upload image	Ziehen und Klicken um Bild hochzuladen	Drop or click for upload image	Drop vagy klik a kép feltöltéséhez.	
New Exhibit	Exponat hinzufügen	New Exhibit	Új tárgy	
Manage Attributes	Attribute bearbeiten	Manage Attributes	Attribútumok szerkesztése	
Edit Exhibit	Exponat bearbeiten	Edit Exhibit	Tárgy szerkesztése	
subpoints		subpoints	Alpontok	
GALLERY	GALERIE	GALLERY	Galéria	
EXHIBITION	SONDERAUSSTELLUNG	EXHIBITION	KIÁLLÍTÁS	
Exhibit	Exponate	Exhibit	Tárgy	
Delete Exhibit	Exponat löschen	Delete Exhibit	Tárgy törlése	
Add Service		Add Service	Új szolgáltatás	
Open...	Geöffnet...	Open...	Megnyit...	
Categories	Kategorien	Categories	Kategóriák	
CATEGORY	KATEGORIE	CATEGORY	Kategória	
OPEN	GEÖFFNET	OPEN	Nyitva	
Service Categories		Service Categories	Szolgáltatás kategóriák	
Add Service Category		Add Service Category	Szolgáltatás kategória hozzáadása	
Service Category Details		Service Category Details	Szolgáltatás kategória részletek	
SERVICES		SERVICES	SZOLGÁLTATÁSOK	
icon	Symbol	icon	Ikon	
Add Gallery	Galerie hinzufügen	Add Gallery	Új galéria	
Gallery Details	Beschreibung der Galerie	Gallery Details	Galéria adatok	
Gallery Name...	Name der Galerie	Gallery Name...	Galéria neve	
Gallery Exhibits	Exponate der Galerie	Gallery Exhibits	Galéria tárgyai	
New Gallery	Neue Galerie	New Gallery	Új galéria	
COLLECTION	SAMMLUNG	COLLECTION	Gyűjtemény	
Delete Gallery	Galerie löschen	Delete Gallery	Galéria törlése	
Add Guided Tour	Führung hinzufügen	Add Guided Tour	Új tárlatvezetés	
Guided Tour Name...	Name der Führung	Guided Tour Name...	Tárlatvezetés neve	
Duration...	Gültigkeit...	Duration...	Időtartam	
Guided Tour Exhibits	Exponate zur Führung	Guided Tour Exhibits	Tárlatvezetés tárgyai	
Add Exhibits	Exponate hinzufügen	Add Exhibits	Új tárgyak	
Select Exhibits	Exponate auswählen	Select Exhibits	Tárgyak megjelölése	
New Guided Tour	Neue Führung	New Guided Tour	Új tárlatvezetés	
Guided Tour	Führung	Guided Tour	Tárlatvezetés	
Delete Guided Tour	Führung löschen	Delete Guided Tour	Tárlatvezetés törlése	
DURATION	Gültigkeit	DURATION	Időtartam	
XPonia	XPONIA	XPonia	Xponia	
Help	Hilfe	Help	Segítség	
Search	Suche	Search	Keresés	
Application points	Anwendung	Application points	Alkalmazás	
Loading	Herunterladen	Loading	Töltés	
has been loaded	erfolgreich aktualisiert.	has been loaded	Feltöltve	
Could not load	Konnte nicht laden	Could not load	Sikertelen feltöltés	
Building floors	Gebäude Etagen	Building floors	Emeletek	
Building options	Gebäudeoptionen	Building options	Épületi opciók	
tiles	Dachziegel	tiles	Csempék	
zones	Zonen	zones	Zónák	
Edit Profile	Profil ändern	Edit Profile	Profíl szerkesztése	
Edit Indoors Settings	Bearbeiten der indoo.rs Einstellungen	Edit Indoors Settings	Beltéri adatok szerkesztése	
Add Page	Seite hinzufügen	Add Page	Új oldal	
Add Quiz	Quiz hinzufügen	Add Quiz	Új kvíz	
Questions	Fragen	Questions	Kérdések	
Add Question	Frage hinzufügen	Add Question	Új kérdés	
question	Frage	question	Kérdés	
QUESTIONS	Fragen	QUESTIONS	Kérdések	
VOUCHER	Gutschein	VOUCHER	Utalvány	
Quiz	Quiz	Quiz	Kvíz	
Delete Quiz	Quiz löschen	Delete Quiz	Kvíz törlése	
Add Answer	Antwort hinzufügen	Add Answer	Válasz szerkesztése	
Answers	Antworten	Answers	Válaszok	
answer	Antwort	answer	Válasz	
Subpoint Details		Subpoint Details	Alpont adatai	
Change Password	Passwort ändern	Change Password	Jelszó cserélése	
You're receiving this email because you requested a password reset for your user account at %(site_name)s.	Sie erhalten diese E-Mail, weil Sie ein Passwort-Reset für Ihr Benutzerkonto bei %(site_name)s angefordert haben.	You're receiving this email because you requested a password reset for your user account at %(site_name)s.	Azért kapja ezt az e-mailt, mert kérte a jelszó visszaállítását a felhasználói fiók %(site_name)s hoz.	
Please go to the following page and choose a new password:	Bitte gehen Sie zur folgenden Seite, und legen Sie ein neues Passwort fest.	Please go to the following page and choose a new password:	Kérjük, a következő oldalon válassz egy új jelszót:	
Your username, in case you've forgotten:	Ihr Benutzername:	Your username, in case you've forgotten:	Felhasználói neved, abban az esetben, ha elfelejtetted:	
Thanks for using our site!	Vielen Dank, dass Sie unseren Service nutzen!	Thanks for using our site!	Köszönjük, az oldalunk használatát!	
The %(site_name)s team	Ihr %(site_name)s Team	The %(site_name)s team	A %(site_name)s csapata.	
Update Profile	Profil aktualisieren	Update Profile	Profíl frissítése	
Add Voucher	Gutschein hinzufügen	Add Voucher	Új utalvány	
Edit Voucher	Gutschein bearbeiten	Edit Voucher	Utalvány szerkesztése	
New Voucher	Neuer Gutschein	New Voucher	Új utalvány	
Title...	Name	Title...	Cím	
Valid To...	Gültig bis	Valid To...	Érvényesség ideje	
Place...	Standort	Place...	Helység	
EXPIRES	Ablauf am	EXPIRES	Lejár	
PLACE	Standort	PLACE	Helység	
EXPIRED	Abgelaufen	EXPIRED	Lejárt	
ACTIVE	Gültig	ACTIVE	Aktív	
Delete Voucher	Gutschein löschen	Delete Voucher	Utalvány törlése	
Delete voucher	Gutschein löschen	Delete voucher	Utalvány törlése	
Login to CMS	Anmelden zum CMS	Login to CMS	Bejelentkezés a CMS-hez	
Sign In	Anmelden	Sign In	Belépés	
Forgot your password?	Passwort vergessen?	Forgot your password?	Elfelejtetted jelszavadat?	
Update password	Passwort aktualisieren	Update password	Jelszó frissítése	
Pages	Seiten	Pages	Oldalak	
Museum	Museum	Museum	Múzeum	
Attribute Set	Attributesatz	Attribute Set	Attribútomok szetje	
Edit Beacon	Beacon bearbeiten	Edit Beacon	Beacon szerkesztés	
collection	sammlung	collection	Gyűjtemény	
Edit Collection	Sammlung bearbeiten	Edit Collection	Gyűjtemény szerkesztése...	
Edit Event		Edit Event	Program szerkesztése	
Edit Exhibition		Edit Exhibition	Kiállítás szerkesztése	
Edit Point	Objekt bearbeiten	Edit Point	Point szerkesztése	
Service		Service	Szolgáltatás	
Edit Service		Edit Service	Szolgáltatás szerkesztése	
Service Category		Service Category	Szolgáltatás kategória	
Edit Service Category		Edit Service Category	Szolgáltatás kategória módosítása	
Edit Gallery		Edit Gallery	Galéria szerkesztése	
Edit Guided Tour	Führung bearbeiten	Edit Guided Tour	Tárlatvezetés szerkesztése 	
Please fill the fields: building_name and api_key	Bitte füllen Sie die Felder: Building_name und Api_key	Please fill the fields: building_name and api_key	Kérjük, töltsd ki a mezőket: épület neve és api kulcs	
Could not load floors	Etagen konnte nicht geladen werden.	Could not load floors	Emeletek fájl feltöltése sikertelen	
Could not load floor zones	Zonen der Etagen konnten nicht geladen werden.	Could not load floor zones	Zónák fájl feltöltése sikertelen	
Could not load floor tiles	Kacheln der Etagen konnten nicht geladen werden.	Could not load floor tiles	Emelet egységek fájl feltöltése sikertelen	
map	karte	map	Alaprajz	
Welcome To Backend!	Willkommen zum Backend!	Welcome To Backend!	Üdvözöljük a backendhez!	
Edit Page	Seite bearbeiten	Edit Page	Oldal szerkesztése	
Could not send password recovery email at the moment, please try again later	Die Passwort-Recovery E-Mail konnte leider nicht versendet werden. Bitte versuchen Sie es später erneut.	Could not send password recovery email at the moment, please try again later	Jelszó recovery email elküldése sikertelen, később próbálkozz újra.	
Enter new password	Neues Passwort eingeben	Enter new password	Add meg az új jelszót	
Password reset unsuccessful	Passwort konnte nicht zurückgesetzt werden.	Password reset unsuccessful	Jelszó visszaállítása sikertelen	
Edit Quiz	Quiz bearbeiten	Edit Quiz	Kvíz szerkesztése	
Edit Question	Frage bearbeiten	Edit Question	Kérdés szerkesztése	
Question	Frage	Question	Kérdés	
Edit Answer	Antwort bearbeiten	Edit Answer	Válasz szerkesztése	
Answer	Antwort	Answer	Válasz	
subpoint		subpoint	Részletek / Alpontok	
Add Subpoint		Add Subpoint	Alpontok szerkesztése	
%s has been %s	%s wurde %s erfolgreich aktualisiert.	%s has been %s	%s %s	
published	veröffentlicht	published	közzétett	
unpublished	unveröffentlicht	unpublished	nem közzétett	
%s has been %s as featured	%s wurde %s erfolgreich aktualisiert.	%s has been %s as featured	%s %s kiemeltként	
marked	markiert	marked	jelölve	
unmarked	nicht markiert	unmarked	nem jelölve	
%s not found	%s nicht gefunden	%s not found	%s nem található	
Invalid data	ungültige Eingabe	Invalid data	Érvénytelen adatok	
Profile	Profil	Profile	Adatlap	
Password has been changed	Das Passwort wurde geändert.	Password has been changed	Jelszavad megváltozott.	
Update Event	Event aktualisieren	Update Event	Program frissítése	
Program segment	Segment	Program segment	Program szegmens	
Add new segment to a program	Segment hinzufügen	Add new segment to a program	Új program hozzáadása	
Update program segment	Segment aktualisieren	Update program segment	Program frissítése	
Explore	Entdecken	Explore	Fedezd fel	
Explore group	Entdecken	Explore group	Fedezd fel	
Product	Produkt	Product	Termék	
Restaurant	Restaurant	Restaurant	Étterem	
created	erstellt	created	létrehozva	
updated	aktualisiert	updated	frissítve	
Image size must be greater than {width}px, {height}px	Bildgröße muß größer sein als {width}px, {height}px	Image size must be greater than {width}px, {height}px	Kép mérete legyen szélesebb mint {width} px és magasabb mint {height} px.	
Image size must be equal {width}px, {height}px	Bildgröße muß sein gleich {width}px, {height}px	Image size must be equal {width}px, {height}px	Kép mérete legyen {width} px, {height} px nagyságú.	
Image size must be less than {width}px, {height}px	Bildgröße muss kleiner sein als {width}px, {height}px	Image size must be less than {width}px, {height}px	Kép mérete legyen keskenyebb mint {width} px és alacsonyabb mint {height} px.	
Enable language(s)	Aktivieren von Sprache(n)	Enable language(s)	Nyelv(ek) bekapcsolása	
Disable language(s)	Deaktivieren Sie die Sprache(n)	Disable language(s)	Nyelv(ek) kikapcsolása	
Default	Standard	Default	Alapértelmezett érték	
Disable	Deaktivieren	Disable	Ki	
Enable	Aktivieren	Enable	Be	
Actions	Tätigkeiten	Actions	Műveletek	
Personal info	Persönliche Information	Personal info	Személyes adat	
Application	Anwendung	Application	Alkalmazás	
Permissions	Berechtigungen	Permissions	Jogosultságok	
Important dates	Wichtige Termine:	Important dates	Fontos dátumok	
Venue is empty	Einrichtung ist leer.	Venue is empty	Helyszín foglalható	
Import beacons	Importiere Beacons	Import beacons	Beacon import	
A user with that email already exists.	Ein Benutzer mit dieser Email existiert bereits.	A user with that email already exists.	Az email cím már létezik.	
The two password fields didn't match.	Die eingegebenen Passwörter stimmen nicht überein.	The two password fields didn't match.	A két jelszó mező nem egyezik.	
Password confirmation	Bestätigung des Passworts	Password confirmation	Jelszó megerősítése	
Enter the same password as above, for verification.	Passwort wiederholen	Enter the same password as above, for verification.	Kérjük, add meg ugyanazt a jelszót.	
"Raw passwords are not stored, so there is no way to see this user's password, but you can change the password using <a href=""password/"">this form</a>."	"Raw-Passwörter werden nicht gespeichert, so dass es keine Möglichkeit gibt, das Kennwort dieses Benutzers zu sehen, aber Sie können das Passwort mit Hilfe ändern <a href=""password/"">Sie dieses Formular.</a>"	"Raw passwords are not stored, so there is no way to see this user's password, but you can change the password using <a href=""password/"">this form</a>."	"Nyers jelszavak nem tárolódnak, így nincs mód, hogy a felhasználó jelszó megtekintésére, de meg tudod változtatni a jelszót <a href=""password/"">ezen az űrlapon</a>keresztül."	
name	Name	name	Név	
local name	Bezeichnung	local name	Név...	
code	Code	code	kód	
enabled	aktiviert	enabled	be	
Language	Sprache	Language	Nyelv	
Languages	Sprachen	Languages	Nyelvek	
email address	Email-Adresse	email address	Email cím	
first name	Vorname	first name	Keresztnév	
last name	Nachname	last name	Családi név	
staff status	Mitarbeitertitel	staff status	személyzeti státusz	
Designates whether the user can log into this admin site.	Administrator-Genehmigung	Designates whether the user can log into this admin site.	Kijelöli, hogy a felhasználó bejelentkezhet-e az admin-felületre.	
active	Aktiv	active	aktív	
Designates whether this user should be treated as active. Unselect this instead of deleting accounts.	Zeigt, ob der Benutzer als aktiv geschlüsselt ist. Deaktivieren Sie den Benutzer, anstelle der Kontolöschung.	Designates whether this user should be treated as active. Unselect this instead of deleting accounts.	Kijelöli, hogy a felhasználó aktív-e. Ezt jelöld meg, a felhasználó törlése helyett.	
date joined	Eintrittsdatum	date joined	Kezdődátum	
phone	Telefon	phone	Telefonszám	
user	Nutzer	user	Felhasználó	
users	Nutzer	users	Felhasználók	
image	Bild	image	Kép	
description	Beschreibung	description	Adatok	
venue	Museum	venue	Helyszín	
beacon udid	Beacon udid	beacon udid	Beacon udid	
indoors api key	Indoo.rs API-Schlüssel	indoors api key	Beltéri api-kulcs	
indoors building name	Indoo.rs Gebäudename	indoors building name	Beltéri épület neve	
feedback url	Feedback URL	feedback url	Feedback URL...	
application	Applikation	application	Alkalmazás	
applications	Applikation	applications	Alkalmazások	
udid	udid	udid	UDID	
major	major	major	Major	
minor	minor	minor	Minor	
title	Titel	title	Cím	
place	Standort	place	Helység	
date valid to	Gültig bis	date valid to	Érvényesség ideje	
voucher	gutschein	voucher	Utalvány	
images	Bilder	images	Képek	
location	Standort	location	Helyszín	
order	Bestellung	order	Megrendel	
collections	sammlung	collections	gyűjtemény	
guided tour categories	Kategorien	guided tour categories	Tárlatvezetés kategóriák	
hash	Hash	hash	Hash	
featured	empfohlen	featured	Kiemelt	
date start	Beginn	date start	Kezdődátum	
date end	Ende	date end	Végdátum	
artists	Künstler	artists	Művészek	
age	Alter	age	Kor	
url	URL	url	Link	
keywords	Suchbegriff	keywords	Kulcsszavak	
Text Field	Textfeld	Text Field	Szöveges mező	
Date Field	Datumsfeld	Date Field	Dátummező	
Numeric Field	Ziffernfeld	Numeric Field	Numerikus mező	
Time Field	Zeitfeld	Time Field	Időmező	
description for kids	beschreibung für kinder	description for kids	Leírás gyerekeknek	
description for specialists	beschreibung für spezialisten	description for specialists	Leírás szakembereknek	
audio	Audio	audio	Audió	
audio for kids	audio für kinder	audio for kids	Audió gyerekeknek	
audio for specialists	audio für spezialisten	audio for specialists	Audió szakembereknek	
video	Video	video	Videó	
video for kids	beschreibung für kinder	video for kids	Videó gyerekeknek	
video for specialists	video für spezialisten	video for specialists	Videó szakembereknek	
attributes	Attribute	attributes	Attribútumok	
exhibit	exponate	exhibit	tüntet, mutat	
duration	Dauer	duration	időtartam	
guided tour	führung	guided tour	tárlatvezetés	
quiz	quiz	quiz	kvíz	
quizzes	quiz	quizzes	kvízek	
questions	fragen	questions	kérdések	
correct	Richtig	correct	helyes	
answers	antworten	answers	válaszok	
service category		service category	szolgáltatás kategória	
service categories		service categories	szolgáltatás kategóriák	
open	geöffnet	open	Nyitva	
service		service	szolgáltatás	
services		services	szolgáltatások	
page	Seite	page	oldal	
pages	Seiten	pages	oldalak	
Hash		Hash		
Past		Past	Múlt	
Today		Today	Ma	
Tomorrow		Tomorrow	Holnap	
This Week		This Week	Ezen a héten	
Please correct errors below	Bitte korrigieren Sie die Fehler unten.	Please correct errors below	Kérjük javítsd az alábbi hibákat	
%s has been successfully created	%s wurde erfolgreich erstellt.	%s has been successfully created	%s sikeresen létrejött	
%s has been successfully updated	%s wurde erfolgreich aktualisiert.	%s has been successfully updated	%s sikeresen frissítve	
%s has been successfully deleted	%s wurde erfolgreich gelöscht.	%s has been successfully deleted	%s sikeresen törölve	
You have no permission for view %s	Sie haben keine Berechtigung zur Ansicht von %s	You have no permission for view %s	Nincs jogosultságod a %s nézethez.	
You have no permission for change %s	Sie haben keine Berechtigung zur Änderung von %s	You have no permission for change %s	Nincs jogosultságod a %s módosításához.	
You have no permission for create %s	Sie haben keine Berechtigung zur Erstellung von %s	You have no permission for create %s	Nincs jogosultságod a %s szerkesztéséhez.	
You have no permission for delete %s	Sie haben keine Berechtigung zur Löschung von %s	You have no permission for delete %s	Nincs jogosultságod a %s törléséhez.	
You have no permission for publish/unpublish %s	Sie haben keine Berechtigung zur Freigabe von %s	You have no permission for publish/unpublish %s	Nincs jogosultságod a %s közzétételhez.	
Password reset link has been sent to the specified mailbox	Ein Link zum Zurücksetzen des Passworts wurde an Ihre Emailadresse gesandt.	Password reset link has been sent to the specified mailbox	Jelszó viszzaállítási link lett küldve a megadott postafiókra.	
Xponia Admin	XPONIA Admin	Xponia Admin	Xponia Admin	
Xponia	XPONIA	Xponia	Xponia	
